tag_id,tag_key,zh_name,en_name,category,parent_tag_key,level,aliases_zh,aliases_en,use_for_exact_filter,use_for_fulltext,use_for_semantic,use_for_weighting,default_usage_class,default_active_input_allowed,default_reference_role,risk_level,description_zh,description_en,examples,do_not_use_for,source_basis,status
TAG_BASIC_INFO_0001,basic_info,基础信息,Basic Info,basic_info,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,文件、片段、技术元数据和基本识别信息。,Top-level class for Basic Info.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_SOURCE_RIGHTS_0002,source_rights,来源与版权,Source and Rights,source_rights,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,来源类型、权利状态、数字来源、出处和可用性。,Top-level class for Source and Rights.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_USAGE_SAFETY_0003,usage_safety,用途与安全,Usage and Safety,usage_safety,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,离线语法、主动输入、审片标准、禁止使用等安全边界。,Top-level class for Usage and Safety.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_CONTEXT_FIT_0004,context_fit,场景上下文,Context Fit,context_fit,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,项目类型、场景类型、镜头目标、任务路由和模型上下文。,Top-level class for Context Fit.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_ACTION_0005,action,动作,Action,action,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,身体运动、攻防、接触、受力、位移和动作因果。,Top-level class for Action.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_ANIMATION_MOTION_0006,animation_motion,动画运动规律,Animation Motion Grammar,animation_motion,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,预备、跟随、夸张、拖影、pose-to-pose 等动画语法。,Top-level class for Animation Motion Grammar.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_GAME_COMBAT_TIMING_0007,game_combat_timing,游戏战斗时序,Game Combat Timing,game_combat_timing,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,startup、active、recovery、hit-stop 等动作游戏时序概念。,Top-level class for Game Combat Timing.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_CAMERA_0008,camera,运镜,Camera,camera,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,景别、角度、运动、手持、推进、环绕和镜头惯性。,Top-level class for Camera.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_COMPOSITION_BLOCKING_0009,composition_blocking,构图与空间调度,Composition and Blocking,composition_blocking,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,空间类型、前中后景、远近关系、角色落点和画面轴线。,Top-level class for Composition and Blocking.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_FX_POST_0010,fx_post,特效与后期,FX and Post,fx_post,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,模型内生成、生成后增强、post-only、剪辑参考、图文包装等。,Top-level class for FX and Post.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_EDITING_RHYTHM_0011,editing_rhythm,剪辑与节奏,Editing and Rhythm,editing_rhythm,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,切点、卡点、变速、慢动作、定格和节奏结构。,Top-level class for Editing and Rhythm.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_PERFORMANCE_EMOTION_0012,performance_emotion,表演与情绪,Performance and Emotion,performance_emotion,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,面部、身体、呼吸、眼神、情绪递进和表演线索。,Top-level class for Performance and Emotion.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_ENVIRONMENT_FEEDBACK_0013,environment_feedback,环境反馈,Environment Feedback,environment_feedback,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,雨水、湿地、烟尘、布料、头发、碎屑等环境与材质响应。,Top-level class for Environment Feedback.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_STYLE_LIGHTING_0014,style_lighting,风格与光影,Style and Lighting,style_lighting,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,写实程度、媒介风格、色彩、光影、质感和风格风险。,Top-level class for Style and Lighting.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_SOUND_RHYTHM_0015,sound_rhythm,声音节奏,Sound Rhythm,sound_rhythm,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,冲击音、风切、节拍、静音、呼吸和音画同步提示。,Top-level class for Sound Rhythm.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
